Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Duration_hours,Duration_minutes,Duration_total_mins
Jet Airways,2019-06-12,Delhi,Cochin,DEL → ATQ → BOM → COK,18:20:00,12:35,18h 15m,2,no info,14300,18,15,1095
Multiple carriers,2019-05-15,Delhi,Cochin,DEL → BOM → COK,18:15:00,01:30,7h 15m,1,no info,13727,7,15,435
Jet Airways,2019-03-21,Banglore,New Delhi,BLR → BOM → DEL,16:55:00,10:25,17h 30m,1,in-flight meal not included,7832,17,30,1050
Multiple carriers,2019-03-09,Delhi,Cochin,DEL → BOM → COK,04:00:00,12:55,8h 55m,1,no info,16259,8,55,535
IndiGo,2019-06-27,Banglore,Delhi,BLR → DEL,08:30:00,11:20,2h 50m,0,no info,4823,2,50,170
Jet Airways,2019-03-06,Banglore,New Delhi,BLR → BOM → DEL,11:40:00,08:15,20h 35m,1,no info,16736,20,35,1235
Air India,2019-06-06,Kolkata,Banglore,CCU → BOM → AMD → BLR,09:25:00,05:25,20h,2,no info,13217,20,0,1200
Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,12:50:00,21:00,8h 10m,1,no info,6637,8,10,490
Jet Airways,2019-06-09,Kolkata,Banglore,CCU → BOM → BLR,18:55:00,12:00,17h 5m,1,in-flight meal not included,10844,17,5,1025
Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,10:00:00,19:15,9h 15m,1,in-flight meal not included,8401,9,15,555
SpiceJet,2019-04-12,Kolkata,Banglore,CCU → BLR,09:00:00,11:25,2h 25m,0,no info,3873,2,25,145
Jet Airways,2019-06-24,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00:00,04:25,8h 25m,2,in-flight meal not included,12410,8,25,505
Jet Airways,2019-05-18,Delhi,Cochin,DEL → AMD → BOM → COK,23:05:00,12:35,13h 30m,2,no info,15129,13,30,810
IndiGo,2019-05-01,Banglore,Delhi,BLR → DEL,13:00:00,15:50,2h 50m,0,no info,4423,2,50,170
Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,13:00:00,19:00,6h,1,no info,16079,6,0,360
Air India,2019-06-06,Kolkata,Banglore,CCU → VNS → DEL → BLR,14:30:00,08:55,18h 25m,2,no info,15894,18,25,1105
Multiple carriers,2019-05-15,Delhi,Cochin,DEL → BOM → COK,04:55:00,19:00,14h 5m,1,no info,9103,14,5,845
Air India,2019-06-12,Delhi,Cochin,DEL → BLR → COK,09:45:00,08:15,22h 30m,1,no info,8991,22,30,1350
Air India,2019-04-01,Kolkata,Banglore,CCU → BOM → HBX → BLR,16:50:00,18:20,25h 30m,2,no info,7893,25,30,1530
IndiGo,2019-03-03,Mumbai,Hyderabad,BOM → HYD,02:30:00,04:00,1h 30m,0,no info,4575,1,30,90
SpiceJet,2019-05-03,Kolkata,Banglore,CCU → BLR,09:00:00,11:25,2h 25m,0,no info,3873,2,25,145
Jet Airways,2019-03-21,Banglore,New Delhi,BLR → BOM → DEL,05:45:00,21:20,15h 35m,1,in-flight meal not included,7832,15,35,935
IndiGo,2019-05-01,Chennai,Kolkata,MAA → CCU,14:45:00,17:05,2h 20m,0,no info,3597,2,20,140
Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,21:10:00,23:25,26h 15m,1,no info,13759,26,15,1575
Jet Airways,2019-05-27,Banglore,Delhi,BLR → DEL,18:55:00,22:00,3h 5m,0,no info,7229,3,5,185
SpiceJet,2019-04-15,Kolkata,Banglore,CCU → BLR,06:55:00,09:30,2h 35m,0,no info,3873,2,35,155
Multiple carriers,2019-05-15,Delhi,Cochin,DEL → BOM → COK,06:00:00,19:00,13h,1,no info,9794,13,0,780
Air India,2019-03-27,Delhi,Cochin,DEL → BLR → COK,13:30:00,08:15,18h 45m,1,no info,6681,18,45,1125
IndiGo,2019-04-21,Banglore,Delhi,BLR → DEL,21:15:00,00:15,3h,0,no info,4423,3,0,180
Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,08:25:00,19:50,11h 25m,1,in-flight meal not included,10844,11,25,685
IndiGo,2019-06-01,Delhi,Cochin,DEL → BOM → COK,09:15:00,21:00,11h 45m,1,no info,7258,11,45,705
Jet Airways,2019-06-12,Mumbai,Hyderabad,BOM → HYD,10:20:00,11:50,1h 30m,0,in-flight meal not included,4995,1,30,90
Jet Airways,2019-06-09,Delhi,Cochin,DEL → BOM → COK,20:55:00,19:00,22h 5m,1,no info,14924,22,5,1325
Vistara,2019-03-15,Banglore,New Delhi,BLR → AMD → DEL,06:40:00,10:25,27h 45m,1,no info,6590,27,45,1665
Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,20:55:00,12:35,15h 40m,1,in-flight meal not included,10262,15,40,940
SpiceJet,2019-03-09,Kolkata,Banglore,CCU → BLR,09:00:00,11:30,2h 30m,0,no info,5515,2,30,150
Jet Airways,2019-03-27,Delhi,Cochin,DEL → AMD → BOM → COK,19:10:00,19:45,24h 35m,2,in-flight meal not included,6643,24,35,1475
IndiGo,2019-06-24,Mumbai,Hyderabad,BOM → HYD,19:05:00,20:35,1h 30m,0,no info,2754,1,30,90
IndiGo,2019-06-09,Delhi,Cochin,DEL → BLR → COK,17:05:00,22:15,5h 10m,1,no info,6493,5,10,310
IndiGo,2019-05-24,Kolkata,Banglore,CCU → NAG → BLR,18:05:00,23:30,5h 25m,1,no info,6218,5,25,325
Air India,2019-06-06,Delhi,Cochin,DEL → BHO → BOM → COK,05:55:00,19:15,13h 20m,2,no info,10861,13,20,800
IndiGo,2019-03-06,Delhi,Cochin,DEL → HYD → COK,07:35:00,16:10,8h 35m,1,no info,7094,8,35,515
SpiceJet,2019-03-24,Mumbai,Hyderabad,BOM → HYD,22:45:00,00:10,1h 25m,0,no info,2227,1,25,85
Jet Airways,2019-04-21,Banglore,Delhi,BLR → DEL,19:50:00,22:50,3h,0,in-flight meal not included,4544,3,0,180
Air India,2019-03-21,Banglore,New Delhi,BLR → CCU → BBI → DEL,05:50:00,16:20,10h 30m,2,no info,7664,10,30,630
Jet Airways,2019-06-27,Banglore,Delhi,BLR → DEL,17:45:00,20:45,3h,0,no info,8016,3,0,180
Air Asia,2019-05-27,Kolkata,Banglore,CCU → BLR,22:50:00,01:20,2h 30m,0,no info,3807,2,30,150
Air India,2019-06-03,Delhi,Cochin,DEL → LKO → BOM → COK,07:10:00,19:15,12h 5m,2,no info,12698,12,5,725
Jet Airways,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,06:30:00,04:40,22h 10m,1,in-flight meal not included,8586,22,10,1330
Jet Airways,2019-04-01,Kolkata,Banglore,CCU → BOM → BLR,06:30:00,04:40,22h 10m,1,in-flight meal not included,7064,22,10,1330
IndiGo,2019-06-09,Delhi,Cochin,DEL → COK,05:35:00,08:50,3h 15m,0,no info,5601,3,15,195
SpiceJet,2019-05-21,Delhi,Cochin,DEL → MAA → COK,15:45:00,22:05,6h 20m,1,no info,7317,6,20,380
Air India,2019-05-06,Kolkata,Banglore,CCU → DEL → COK → TRV → BLR,10:00:00,10:30,24h 30m,3,no info,12797,24,30,1470
IndiGo,2019-04-06,Kolkata,Banglore,CCU → MAA → BLR,06:15:00,10:30,4h 15m,1,no info,4226,4,15,255
Jet Airways,2019-05-12,Kolkata,Banglore,CCU → DEL → BLR,17:00:00,23:35,6h 35m,1,no info,14151,6,35,395
IndiGo,2019-03-27,Delhi,Cochin,DEL → BOM → COK,10:45:00,01:35,14h 50m,1,no info,6628,14,50,890
IndiGo,2019-03-09,Banglore,New Delhi,BLR → DEL,04:00:00,06:50,2h 50m,0,no info,8033,2,50,170
Multiple carriers,2019-06-01,Delhi,Cochin,DEL → BOM → COK,10:35:00,19:00,8h 25m,1,no info,11200,8,25,505
IndiGo,2019-06-24,Kolkata,Banglore,CCU → BLR,15:30:00,18:05,2h 35m,0,no info,4804,2,35,155
Air Asia,2019-06-12,Kolkata,Banglore,CCU → DEL → BLR,22:40:00,10:40,12h,1,no info,5192,12,0,720
Jet Airways,2019-06-12,Delhi,Cochin,DEL → JAI → BOM → COK,09:40:00,04:25,18h 45m,2,no info,13014,18,45,1125
Jet Airways,2019-05-21,Kolkata,Banglore,CCU → BOM → BLR,21:10:00,22:35,25h 25m,1,in-flight meal not included,10844,25,25,1525
Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,07:00:00,15:30,8h 30m,1,no info,15603,8,30,510
GoAir,2019-04-03,Banglore,Delhi,BLR → DEL,07:45:00,10:40,2h 55m,0,no info,4239,2,55,175
Jet Airways,2019-06-12,Kolkata,Banglore,CCU → BOM → BLR,14:05:00,10:05,20h,1,no info,13044,20,0,1200
Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,18:15:00,19:00,24h 45m,1,in-flight meal not included,12898,24,45,1485
SpiceJet,2019-04-01,Kolkata,Banglore,CCU → PNQ → BLR,08:35:00,17:15,8h 40m,1,no info,6013,8,40,520
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,16:30:00,22:35,6h 5m,1,no info,14781,6,5,365
Jet Airways,2019-03-21,Delhi,Cochin,DEL → BOM → COK,17:30:00,04:25,10h 55m,1,no info,12557,10,55,655
Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,04:45:00,18:50,14h 5m,1,no info,13875,14,5,845
Jet Airways,2019-06-15,Delhi,Cochin,DEL → IDR → BOM → COK,09:35:00,04:25,18h 50m,2,in-flight meal not included,11507,18,50,1130
Air India,2019-06-18,Kolkata,Banglore,CCU → BLR,14:15:00,16:45,2h 30m,0,no info,5510,2,30,150
GoAir,2019-03-24,Kolkata,Banglore,CCU → AMD → BLR,16:25:00,00:05,7h 40m,1,no info,10198,7,40,460
Jet Airways,2019-06-12,Kolkata,Banglore,CCU → GAU → BLR,10:20:00,17:35,7h 15m,1,no info,8355,7,15,435
Jet Airways,2019-06-01,Banglore,Delhi,BLR → DEL,18:55:00,22:00,3h 5m,0,no info,8016,3,5,185
IndiGo,2019-05-27,Delhi,Cochin,DEL → BOM → COK,10:35:00,21:00,10h 25m,1,no info,6314,10,25,625
Air India,2019-03-09,Delhi,Cochin,DEL → COK,05:10:00,08:00,2h 50m,0,no info,5831,2,50,170
Jet Airways,2019-06-24,Delhi,Cochin,DEL → BOM → COK,19:15:00,04:25,9h 10m,1,in-flight meal not included,10262,9,10,550
Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,13:55:00,01:35,11h 40m,1,in-flight meal not included,15136,11,40,700
Jet Airways,2019-03-21,Banglore,New Delhi,BLR → BOM → DEL,20:35:00,10:25,13h 50m,1,in-flight meal not included,7832,13,50,830
SpiceJet,2019-03-24,Chennai,Kolkata,MAA → CCU,08:20:00,10:35,2h 15m,0,no info,3859,2,15,135
IndiGo,2019-04-06,Kolkata,Banglore,CCU → BLR,15:15:00,17:45,2h 30m,0,no info,4174,2,30,150
Jet Airways,2019-03-06,Banglore,New Delhi,BLR → BOM → DEL,05:45:00,11:25,5h 40m,1,no info,19225,5,40,340
IndiGo,2019-03-09,Delhi,Cochin,DEL → BOM → COK,04:45:00,21:00,16h 15m,1,no info,10518,16,15,975
IndiGo,2019-04-06,Banglore,Delhi,BLR → DEL,07:10:00,10:05,2h 55m,0,no info,4823,2,55,175
Air India,2019-03-24,Banglore,New Delhi,BLR → DEL,10:00:00,12:45,2h 45m,0,no info,7276,2,45,165
Multiple carriers,2019-06-09,Delhi,Cochin,DEL → BOM → COK,10:00:00,19:00,9h,1,no info,12192,9,0,540
Air Asia,2019-06-01,Delhi,Cochin,DEL → BLR → COK,16:45:00,07:10,14h 25m,1,no info,11410,14,25,865
Air India,2019-05-21,Kolkata,Banglore,CCU → DEL → COK → BLR,10:00:00,01:20,15h 20m,2,no info,13033,15,20,920
Jet Airways,2019-03-01,Banglore,New Delhi,BLR → BOM → DEL,05:45:00,15:15,9h 30m,1,no info,26890,9,30,570
IndiGo,2019-06-27,Kolkata,Banglore,CCU → BLR,15:15:00,17:45,2h 30m,0,no info,4804,2,30,150
Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,18:55:00,20:45,25h 50m,1,in-flight meal not included,10844,25,50,1550
Air India,2019-06-12,Delhi,Cochin,DEL → JDH → BOM → COK,12:55:00,19:15,30h 20m,2,no info,12436,30,20,1820
IndiGo,2019-06-21,Banglore,Delhi,BLR → DEL,07:10:00,10:05,2h 55m,0,no info,4823,2,55,175
IndiGo,2019-06-03,Mumbai,Hyderabad,BOM → HYD,21:20:00,22:50,1h 30m,0,no info,2227,1,30,90
Jet Airways,2019-06-01,Delhi,Cochin,DEL → BOM → COK,20:55:00,12:35,15h 40m,1,in-flight meal not included,10262,15,40,940
Jet Airways,2019-03-03,Delhi,Cochin,DEL → BOM → COK,08:00:00,04:25,20h 25m,1,no info,17024,20,25,1225
Jet Airways,2019-03-27,Delhi,Cochin,DEL → IXC → BOM → COK,06:20:00,04:25,22h 5m,2,in-flight meal not included,9296,22,5,1325
Air India,2019-06-06,Delhi,Cochin,DEL → COK,18:05:00,21:10,3h 5m,0,no info,6094,3,5,185
Jet Airways,2019-06-09,Kolkata,Banglore,CCU → BOM → BLR,08:25:00,04:40,20h 15m,1,in-flight meal not included,8586,20,15,1215
Jet Airways,2019-06-15,Delhi,Cochin,DEL → NAG → BOM → COK,06:45:00,04:25,21h 40m,2,in-flight meal not included,10919,21,40,1300
GoAir,2019-06-09,Kolkata,Banglore,CCU → AMD → BLR,16:40:00,00:15,7h 35m,1,no info,9495,7,35,455
Jet Airways,2019-06-12,Delhi,Cochin,DEL → BOM → COK,21:50:00,04:25,6h 35m,1,no info,14714,6,35,395
Air India,2019-06-24,Delhi,Cochin,DEL → COK,14:10:00,17:10,3h,0,no info,5201,3,0,180
Air India,2019-03-27,Delhi,Cochin,DEL → HYD → MAA → COK,09:45:00,09:25,23h 40m,2,no info,7090,23,40,1420
IndiGo,2019-05-15,Mumbai,Hyderabad,BOM → HYD,09:10:00,10:40,1h 30m,0,no info,4575,1,30,90
Multiple carriers,2019-05-15,Delhi,Cochin,DEL → HYD → COK,07:05:00,16:10,9h 5m,1,no info,9646,9,5,545
IndiGo,2019-06-12,Delhi,Cochin,DEL → MAA → COK,02:00:00,07:25,5h 25m,1,no info,5636,5,25,325
Multiple carriers,2019-06-15,Delhi,Cochin,DEL → HYD → COK,07:05:00,16:10,9h 5m,1,no info,9646,9,5,545
Jet Airways,2019-03-09,Mumbai,Hyderabad,BOM → HYD,19:40:00,21:10,1h 30m,0,in-flight meal not included,4050,1,30,90
Jet Airways,2019-06-09,Delhi,Cochin,DEL → BOM → COK,21:50:00,19:00,21h 10m,1,no info,14714,21,10,1270
IndiGo,2019-06-18,Kolkata,Banglore,CCU → BLR,15:15:00,17:45,2h 30m,0,no info,4804,2,30,150
Jet Airways,2019-06-09,Delhi,Cochin,DEL → BOM → COK,18:15:00,19:00,24h 45m,1,in-flight meal not included,10577,24,45,1485
GoAir,2019-06-15,Banglore,Delhi,BLR → DEL,20:55:00,23:40,2h 45m,0,no info,3898,2,45,165
Jet Airways,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,20:00:00,12:00,16h,1,no info,14571,16,0,960
Jet Airways,2019-06-15,Delhi,Cochin,DEL → NAG → BOM → COK,06:45:00,04:25,21h 40m,2,in-flight meal not included,10919,21,40,1300
Jet Airways,2019-06-18,Banglore,Delhi,BLR → DEL,06:00:00,08:45,2h 45m,0,no info,8016,2,45,165
IndiGo,2019-03-21,Delhi,Cochin,DEL → HYD → COK,04:55:00,12:00,7h 5m,1,no info,6287,7,5,425
Air India,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,16:50:00,07:55,15h 5m,1,no info,8366,15,5,905
Jet Airways,2019-03-06,Delhi,Cochin,DEL → BOM → COK,11:30:00,18:50,7h 20m,1,in-flight meal not included,15400,7,20,440
Vistara,2019-03-03,Banglore,New Delhi,BLR → DEL,19:40:00,22:20,2h 40m,0,no info,8553,2,40,160
SpiceJet,2019-04-09,Kolkata,Banglore,CCU → BLR,06:55:00,09:30,2h 35m,0,no check-in baggage included,3841,2,35,155
Air India,2019-04-09,Delhi,Cochin,DEL → BHO → BOM → COK,05:55:00,07:40,25h 45m,2,no info,10021,25,45,1545
SpiceJet,2019-06-24,Chennai,Kolkata,MAA → CCU,17:45:00,20:05,2h 20m,0,no info,3597,2,20,140
IndiGo,2019-05-24,Chennai,Kolkata,MAA → CCU,11:35:00,14:00,2h 25m,0,no info,4332,2,25,145
GoAir,2019-06-21,Banglore,Delhi,BLR → DEL,20:55:00,23:40,2h 45m,0,no info,3898,2,45,165
Jet Airways,2019-03-06,Mumbai,Hyderabad,BOM → BDQ → DEL → HYD,13:05:00,16:50,27h 45m,2,no info,21375,27,45,1665
Vistara,2019-06-06,Kolkata,Banglore,CCU → DEL → BLR,07:10:00,23:25,16h 15m,1,no info,8610,16,15,975
IndiGo,2019-06-15,Kolkata,Banglore,CCU → BLR,17:15:00,19:50,2h 35m,0,no info,4804,2,35,155
Air India,2019-06-01,Delhi,Cochin,DEL → CCU → BOM → COK,14:25:00,19:15,28h 50m,2,no info,13591,28,50,1730
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,06:30:00,16:20,9h 50m,1,no info,14781,9,50,590
Jet Airways,2019-03-15,Banglore,New Delhi,BLR → BOM → DEL,08:00:00,13:15,5h 15m,1,in-flight meal not included,9134,5,15,315
Air India,2019-06-09,Delhi,Cochin,DEL → NAG → BOM → COK,05:55:00,07:40,25h 45m,2,no info,10493,25,45,1545
Jet Airways,2019-03-24,Banglore,New Delhi,BLR → BOM → DEL,11:40:00,09:00,21h 20m,1,in-flight meal not included,8147,21,20,1280
SpiceJet,2019-06-21,Kolkata,Banglore,CCU → BLR,22:20:00,00:40,2h 20m,0,no info,3873,2,20,140
Jet Airways,2019-06-09,Kolkata,Banglore,CCU → BOM → BLR,18:55:00,12:00,17h 5m,1,no info,14571,17,5,1025
Air India,2019-03-03,Banglore,New Delhi,BLR → VGA → HYD → DEL,10:30:00,21:25,10h 55m,2,no info,11003,10,55,655
Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,19:15:00,04:25,9h 10m,1,in-flight meal not included,10262,9,10,550
Jet Airways,2019-03-21,Delhi,Cochin,DEL → BOM → COK,02:15:00,18:50,16h 35m,1,no info,12719,16,35,995
Jet Airways,2019-06-24,Delhi,Cochin,DEL → BOM → COK,20:55:00,19:00,22h 5m,1,in-flight meal not included,10262,22,5,1325
Air India,2019-06-21,Banglore,Delhi,BLR → DEL,17:00:00,19:45,2h 45m,0,no info,7171,2,45,165
SpiceJet,2019-04-27,Banglore,Delhi,BLR → DEL,05:55:00,08:35,2h 40m,0,no info,4423,2,40,160
Multiple carriers,2019-03-09,Delhi,Cochin,DEL → BOM → COK,17:25:00,01:35,8h 10m,1,in-flight meal not included,12616,8,10,490
Air India,2019-06-01,Delhi,Cochin,DEL → HYD → BOM → COK,17:15:00,19:15,26h,2,no info,12970,26,0,1560
Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,21:10:00,10:05,12h 55m,1,no info,14914,12,55,775
Jet Airways,2019-05-06,Mumbai,Hyderabad,BOM → HYD,02:55:00,04:20,1h 25m,0,in-flight meal not included,3210,1,25,85
GoAir,2019-04-21,Banglore,Delhi,BLR → DEL,07:45:00,10:40,2h 55m,0,no info,4632,2,55,175
Jet Airways,2019-05-09,Delhi,Cochin,DEL → BOM → COK,17:30:00,04:25,10h 55m,1,in-flight meal not included,12373,10,55,655
IndiGo,2019-06-15,Kolkata,Banglore,CCU → BLR,14:25:00,16:55,2h 30m,0,no info,4804,2,30,150
Multiple carriers,2019-03-03,Delhi,Cochin,DEL → GWL → IDR → BOM → COK,11:35:00,21:00,9h 25m,3,no info,21829,9,25,565
Multiple carriers,2019-06-01,Delhi,Cochin,DEL → BOM → COK,08:00:00,21:00,13h,1,no info,13587,13,0,780
Jet Airways,2019-06-27,Delhi,Cochin,DEL → AMD → BOM → COK,23:05:00,04:25,29h 20m,2,no info,12819,29,20,1760
Air Asia,2019-03-27,Delhi,Cochin,DEL → BLR → COK,20:10:00,07:10,11h,1,no info,6151,11,0,660
Jet Airways,2019-06-01,Banglore,Delhi,BLR → DEL,15:15:00,18:10,2h 55m,0,no info,8016,2,55,175
Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,07:30:00,18:50,11h 20m,1,no info,15135,11,20,680
IndiGo,2019-05-21,Delhi,Cochin,DEL → BOM → COK,17:10:00,01:30,8h 20m,1,no info,6794,8,20,500
Vistara,2019-05-15,Kolkata,Banglore,CCU → DEL → BLR,17:00:00,20:20,27h 20m,1,no info,8610,27,20,1640
Air India,2019-05-18,Kolkata,Banglore,CCU → IXR → DEL → BLR,05:50:00,12:30,30h 40m,2,no info,12723,30,40,1840
Air India,2019-06-06,Kolkata,Banglore,CCU → BBI → BLR,12:00:00,13:15,25h 15m,1,no info,7662,25,15,1515
Multiple carriers,2019-03-09,Delhi,Cochin,DEL → BOM → COK,17:00:00,01:35,8h 35m,1,no info,14343,8,35,515
Multiple carriers,2019-06-01,Delhi,Cochin,DEL → BOM → COK,10:20:00,01:30,15h 10m,1,no info,6795,15,10,910
SpiceJet,2019-05-09,Kolkata,Banglore,CCU → BLR,22:20:00,00:40,2h 20m,0,no info,3873,2,20,140
IndiGo,2019-06-12,Mumbai,Hyderabad,BOM → HYD,19:05:00,20:35,1h 30m,0,no info,2754,1,30,90
Air India,2019-03-06,Mumbai,Hyderabad,BOM → CCU → HYD,06:10:00,21:15,15h 5m,1,no info,16666,15,5,905
Multiple carriers,2019-06-01,Delhi,Cochin,DEL → BOM → COK,04:55:00,12:35,7h 40m,1,no info,11098,7,40,460
Jet Airways,2019-06-09,Kolkata,Banglore,CCU → DEL → BLR,17:00:00,22:05,29h 5m,1,in-flight meal not included,10539,29,5,1745
Air India,2019-05-27,Delhi,Cochin,DEL → BOM → COK,07:00:00,19:15,12h 15m,1,no info,9929,12,15,735
Jet Airways,2019-05-12,Kolkata,Banglore,CCU → BOM → BLR,16:30:00,16:20,23h 50m,1,in-flight meal not included,10844,23,50,1430
Jet Airways,2019-06-06,Kolkata,Banglore,CCU → DEL → BLR,09:35:00,14:25,28h 50m,1,no info,12692,28,50,1730
Jet Airways,2019-03-21,Delhi,Cochin,DEL → BOM → COK,20:50:00,04:25,7h 35m,1,in-flight meal not included,9212,7,35,455
Multiple carriers,2019-05-15,Delhi,Cochin,DEL → BOM → COK,15:00:00,01:30,10h 30m,1,no info,13727,10,30,630
Air Asia,2019-06-15,Banglore,Delhi,BLR → DEL,04:55:00,07:45,2h 50m,0,no info,4282,2,50,170
Jet Airways,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,18:55:00,16:20,21h 25m,1,in-flight meal not included,10844,21,25,1285
Air India,2019-06-27,Delhi,Cochin,DEL → MAA → COK,17:20:00,09:25,16h 5m,1,no info,7480,16,5,965
IndiGo,2019-05-01,Banglore,Delhi,BLR → DEL,16:55:00,19:55,3h,0,no info,4823,3,0,180
Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,22:50:00,12:35,13h 45m,1,in-flight meal not included,12373,13,45,825
Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,11:40:00,21:00,9h 20m,1,no info,7215,9,20,560
Air India,2019-05-09,Delhi,Cochin,DEL → MAA → COK,06:05:00,09:25,27h 20m,1,no info,7480,27,20,1640
Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,09:00:00,21:00,12h,1,no info,8143,12,0,720
IndiGo,2019-05-03,Banglore,Delhi,BLR → DEL,18:25:00,21:20,2h 55m,0,no info,4823,2,55,175
Jet Airways,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,20:00:00,08:15,12h 15m,1,in-flight meal not included,10844,12,15,735
SpiceJet,2019-04-12,Banglore,Delhi,BLR → DEL,21:10:00,00:05,2h 55m,0,no info,5621,2,55,175
Vistara,2019-05-18,Kolkata,Banglore,CCU → DEL → BLR,20:20:00,20:20,24h,1,no info,9555,24,0,1440
IndiGo,2019-03-21,Banglore,New Delhi,BLR → DEL,01:30:00,04:15,2h 45m,0,no info,4777,2,45,165
SpiceJet,2019-03-03,Banglore,New Delhi,BLR → DEL,09:35:00,12:30,2h 55m,0,no info,7648,2,55,175
IndiGo,2019-04-01,Kolkata,Banglore,CCU → PAT → BLR,09:20:00,14:15,4h 55m,1,no info,10308,4,55,295
Jet Airways,2019-05-24,Delhi,Cochin,DEL → JDH → BOM → COK,11:40:00,19:00,7h 20m,2,no info,21219,7,20,440
IndiGo,2019-05-06,Kolkata,Banglore,CCU → PAT → BLR,09:20:00,14:15,4h 55m,1,no info,11319,4,55,295
Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,21:10:00,20:45,23h 35m,1,in-flight meal not included,10844,23,35,1415
Multiple carriers,2019-05-09,Delhi,Cochin,DEL → BOM → COK,18:15:00,01:30,7h 15m,1,no info,15078,7,15,435
SpiceJet,2019-05-01,Mumbai,Hyderabad,BOM → HYD,22:45:00,00:15,1h 30m,0,no info,2017,1,30,90
Air Asia,2019-06-01,Kolkata,Banglore,CCU → BLR,22:50:00,01:20,2h 30m,0,no info,4409,2,30,150
IndiGo,2019-06-09,Delhi,Cochin,DEL → HYD → COK,07:35:00,12:10,4h 35m,1,no info,5054,4,35,275
Air India,2019-03-15,Banglore,New Delhi,BLR → CCU → GAU → DEL,05:50:00,22:10,16h 20m,2,no info,10111,16,20,980
SpiceJet,2019-03-18,Banglore,New Delhi,BLR → DEL,20:30:00,23:20,2h 50m,0,no check-in baggage included,4273,2,50,170
Jet Airways,2019-03-21,Delhi,Cochin,DEL → MAA → BOM → COK,13:55:00,18:50,28h 55m,2,in-flight meal not included,8728,28,55,1735
Air India,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,16:50:00,07:55,15h 5m,1,no info,8576,15,5,905
Jet Airways,2019-06-03,Banglore,Delhi,BLR → DEL,17:45:00,20:45,3h,0,no info,8016,3,0,180
Jet Airways,2019-06-09,Banglore,Delhi,BLR → DEL,15:15:00,18:10,2h 55m,0,no info,8016,2,55,175
Jet Airways,2019-05-18,Kolkata,Banglore,CCU → DEL → BLR,20:25:00,23:35,27h 10m,1,no info,14151,27,10,1630
IndiGo,2019-04-15,Banglore,Delhi,BLR → DEL,06:05:00,08:50,2h 45m,0,no info,4423,2,45,165
Jet Airways,2019-06-15,Mumbai,Hyderabad,BOM → HYD,07:05:00,08:30,1h 25m,0,in-flight meal not included,4050,1,25,85
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,14:05:00,19:50,5h 45m,1,no info,14781,5,45,345
Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,20:00:00,08:15,12h 15m,1,in-flight meal not included,8586,12,15,735
Air Asia,2019-05-21,Kolkata,Banglore,CCU → BBI → BLR,19:55:00,23:30,3h 35m,1,no info,5162,3,35,215
Jet Airways,2019-06-09,Kolkata,Banglore,CCU → BOM → BLR,21:10:00,04:40,7h 30m,1,no info,13731,7,30,450
Jet Airways,2019-03-21,Delhi,Cochin,DEL → BOM → COK,13:00:00,04:25,15h 25m,1,in-flight meal not included,7438,15,25,925
Jet Airways,2019-05-15,Kolkata,Banglore,CCU → DEL → BLR,09:35:00,10:55,25h 20m,1,no info,14151,25,20,1520
Vistara,2019-04-12,Banglore,Delhi,BLR → DEL,21:00:00,23:50,2h 50m,0,no info,5613,2,50,170
IndiGo,2019-05-15,Kolkata,Banglore,CCU → HYD → BLR,15:15:00,20:05,4h 50m,1,no info,5380,4,50,290
